arquivo,timestamp_s,timecode,tipo
0001_00-00-00_000.jpg,0.000,00-00-00.000,ini
0002_00-00-04_750.jpg,4.750,00-00-04.750,suave
0003_00-00-07_750.jpg,7.750,00-00-07.750,suave
0004_00-00-11_250.jpg,11.250,00-00-11.250,suave
0005_00-00-15_750.jpg,15.750,00-00-15.750,suave
0006_00-00-19_250.jpg,19.250,00-00-19.250,suave
0007_00-00-23_250.jpg,23.250,00-00-23.250,suave
0008_00-00-27_500.jpg,27.500,00-00-27.500,suave
0009_00-00-31_750.jpg,31.750,00-00-31.750,suave
0010_00-00-39_000.jpg,39.000,00-00-39.000,suave
0011_00-00-40_750.jpg,40.750,00-00-40.750,suave
0012_00-00-44_750.jpg,44.750,00-00-44.750,suave
0013_00-00-49_500.jpg,49.500,00-00-49.500,suave
0014_00-00-57_524.jpg,57.524,00-00-57.524,corte
0015_00-00-58_592.jpg,58.592,00-00-58.592,corte
0016_00-01-01_000.jpg,61.000,00-01-01.000,suave
0017_00-01-02_829.jpg,62.829,00-01-02.829,corte
0018_00-01-06_400.jpg,66.400,00-01-06.400,corte
0019_00-01-09_000.jpg,69.000,00-01-09.000,suave
0020_00-01-15_500.jpg,75.500,00-01-15.500,suave
0021_00-01-19_980.jpg,79.980,00-01-19.980,corte
0022_00-01-21_214.jpg,81.214,00-01-21.214,corte
0023_00-01-23_750.jpg,83.750,00-01-23.750,suave
0024_00-01-29_250.jpg,89.250,00-01-29.250,suave
0025_00-01-31_191.jpg,91.191,00-01-31.191,corte
0026_00-01-34_761.jpg,94.761,00-01-34.761,corte
0027_00-01-37_750.jpg,97.750,00-01-37.750,suave
0028_00-01-40_000.jpg,100.000,00-01-40.000,suave
0029_00-01-44_250.jpg,104.250,00-01-44.250,suave
0030_00-01-46_640.jpg,106.640,00-01-46.640,corte
0031_00-01-50_811.jpg,110.811,00-01-50.811,corte
0032_00-01-54_014.jpg,114.014,00-01-54.014,corte
0033_00-02-01_688.jpg,121.688,00-02-01.688,corte
0034_00-02-03_250.jpg,123.250,00-02-03.250,suave
0035_00-02-06_526.jpg,126.526,00-02-06.526,corte
0036_00-02-08_996.jpg,128.996,00-02-08.996,corte
0037_00-02-11_398.jpg,131.398,00-02-11.398,corte
0038_00-02-12_199.jpg,132.199,00-02-12.199,corte
0039_00-02-27_514.jpg,147.514,00-02-27.514,corte
0040_00-02-37_750.jpg,157.750,00-02-37.750,suave
0041_00-02-39_359.jpg,159.359,00-02-39.359,corte
0042_00-02-44_000.jpg,164.000,00-02-44.000,suave
0043_00-02-56_109.jpg,176.109,00-02-56.109,corte
0044_00-02-58_745.jpg,178.745,00-02-58.745,corte
